division_name,depot_name,route_code,device_imei,event_location,event_date,speed,ignition_status,gps_status,main_battery_status,vehicle_status,running_status,vehicle_reg_no
LATUR,LATUR,,8.62818E+14,"NH548B, Khadgaon, Latur, Maharashtra, 413512, India",41:27.0,0,0,1,0,AT DWS,locationEvent,MH20BL2332
MUMBAI,KURLA NEHRU NAGAR,,8.69247E+14,KURLA NEHRU NAGAR Depot,41:25.0,0,0,1,1,ON ROAD,"locationEvent,stopEvent",MH09EM9462
THANE,BHIVANDI,,8.68997E+14,BHIVANDI Depot,41:19.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH40N9641
AHMADNAGAR,SHEVGAON,,8.69247E+14,"Shevgaon, Ahmadnagar, Ahmednagar, Maharashtra, 414502, India",40:45.0,0,0,1,0,ON ROAD,locationEvent,MH40N8752
LATUR,LATUR,,8.62818E+14,"NH548B, Khadgaon, Latur, Maharashtra, 413512, India",39:59.0,0,0,1,0,ON ROAD,locationEvent,MH20BL2840
LATUR,LATUR,,8.62818E+14,"Old Ausa Road, Deshpande Colony, Latur, Maharashtra, 413512, India",39:50.0,0,0,1,0,AT DWS,"locationEvent,tiltAlert",MH14BT3895
NASIK,SINNAR,,8.67322E+14,"Sinnar, ?????, Nashik, Maharashtra, 422103, India",39:21.0,0,0,1,0,ON ROAD,"locationEvent,stopEvent,ignitionOffAlert",MH20D9205
RAIGAD,MURUD,,8.69247E+14,"Murud bus station, Revdanda Murud Road, Murud, Kulaba, Raigad, Maharashtra, 402400, India",37:35.0,0,0,1,0,ON ROAD,locationEvent,MH20BL3028
JALNA,JALNA,,8.69247E+14,JALNA Depot,37:08.0,0,0,1,0,ON ROAD,locationEvent,MH06S8666
NANDED,NANDED ,,8.62818E+14,"Waghala, Nanded-Waghala, Nanded, Nanded, Maharashtra, 431600, India",36:47.0,0,0,1,0,ON ROAD,locationEvent,MH20BL0625
AURANGABAD,AURANGABAD II,,8.69247E+14,"Aurangabad Central Bus Station, Bus Station Road, Guatam Nagar, Cantonment, Aurangabad, Maharashtra, 431002, India",36:00.0,0,0,1,0,ON ROAD,locationEvent,MH20BL2564
RATNAGIRI,KHED,,8.69247E+14,"SH104, Khed, Kulaba, Konkan Division, Maharashtra, 415709, India",35:42.0,0,0,1,0,ON ROAD,"stopEvent,locationEvent",MH06S9523
